Episode,Date,Host,Guest,Project / Company
Episode 621,"March 17, 2021","Doc Searls, Katherine Druckman",[Dries Buytaert](https://en.wikipedia.org/wiki/Dries_Buytaert),[Drupal](https://en.wikipedia.org/wiki/Drupal)
Episode 622,"March 24, 2021","Doc Searls, Simon Phipps",Keith Packard,Keith Packard
Episode 623,"March 31, 2021","Doc Searls, Dan Lynch",Liam Breck,MNM Mail
Episode 624,"April 7, 2021","Doc Searls, Aaron Newcomb",John Mertic,Open Mainframe Project
Episode 625,"April 14, 2021","Jonathan Bennett, Dan Lynch",Jonathan Steck,Endless Sky
Episode 626,"April 21, 2021","Doc Searls, Jonathan Bennett",Jason Donenfeld,Wireguard and Open Source VPN
Episode 627,"April 28, 2021","Doc Searls, Katherine Druckman, Shawn Powers",Beyond The Browser
Episode 628,"May 5, 2021","Doc Searls, Aaron Newcomb",Dr. Andre Kudra,Digital Sovereignty
Episode 629,"May 12, 2021","Doc Searls, Jonathan Bennett",Steven J. Vaughan-Nichols,Steven J. Vaughan-Nichols
Episode 630,"May 19, 2021","Doc Searls, Aaron Newcomb",Dale Dougherty,The State of Making
Episode 631,"May 26, 2021","Doc Searls, Shawn Powers",Fred Stuzman,The Future of Focused Work
Episode 632,"June 2, 2021","Doc Searls, Jonathan Bennett",[Brian J. Fox](Brian_Fox_(computer_programmer)https://en.wikipedia.org/wiki/),From Bash to Cryptocurrency
Episode 633,"June 9, 2021","Doc Searls, Aaron Newcomb, Shawn Powers",Open Source Education and Privacy
Episode 634,"June 16, 2021","Doc Searls, Katherine Druckman",Martin Sosic,Web Development with Wasp
Episode 635,"June 23, 2021","Doc Searls, Simon Phipps",Jonathan Riddell,KDE Neon
Episode 636,"June 30, 2021","Doc Searls, Jonathan Bennett",Stephano Cetola,RISC-V
Episode 637,"July 7, 2021","Doc Searls, Dan Lynch",Buster Neece,Open Source Web Radio with AzuraCast
Episode 638,"July 14, 2021","Doc Searls, Jonathan Bennett",David Taht,Bufferbloat and Beyond
Episode 639,"July 21, 2021","Doc Searls, Simon Phipps",[Mårten Mickos](https://en.wikipedia.org/wiki/Mårten_Mickos),Open Source and Big Business
Episode 640,"July 28, 2021","Doc Searls, Jonathan Bennett, Dan Lynch, Katherine Druckman",Open Source Past and Future
Episode 641,"August 4, 2021","Doc Searls, Shawn Powers",Nick Vidal,The Open Anniversary
Episode 642,"August 11, 2021","Doc Searls, Jonathan Bennett, Shawn Powers",Linux Kernel Security and Beyond
Episode 643,"August 18, 2021","Doc Searls, Aaron Newcomb",Clyde Seepersad,Open Source Hiring Trends
Episode 644,"August 25, 2021","Doc Searls, Simon Phipps",Guy Martin,OASIS Open
Episode 645,"September 1, 2021","Doc Searls, Katherine Druckman",[Don Marti](https://en.wikipedia.org/wiki/Don_Marti),Privacy and AdTech
Episode 646,"September 8, 2021","Doc Searls, Dan Lynch",Richard North,AtomicJar and Testcontainers
Episode 647,"September 15, 2021","Doc Searls, Jonathan Bennett",Mike Schwartz,Gluu and Open Source Digital ID
Episode 648,"September 22, 2021","Jonathan Bennett, Shawn Powers, Leo Laporte",Carl Richell,Pop!\_OS and System76
Episode 649,"September 29, 2021","Doc Searls, Dan Lynch",Daniel Maslowski,Open Firmware
Episode 650,"October 6, 2021","Doc Searls, Jonathan Bennett",James Vasile,Decentralizing Social Networks
Episode 651,"October 13, 2021","Doc Searls, Aaron Newcomb",Mary Hodder,Open Source and Construction
Episode 652,"October 20, 2021","Doc Searls, Simon Phipps",Peter Adams,Faces of Open Source
Episode 653,"October 27, 2021","Doc Searls, Katherine Druckman",Paul Mutton,Web Servers and Cybercrime
Episode 654,"November 3, 2021","Doc Searls, Shawn Powers",Paula Hunter,Financial Inclusion and Mojaloop
Episode 655,"November 10, 2021","Doc Searls, Dan Lynch",Kosta Peric,Open Source and Digital Public Goods
Episode 656,"November 17, 2021","Doc Searls, Jonathan Bennett, Aaron Newcomb",Intel & System76,Switching to Linux - and Much Else
Episode 657,"November 24, 2021","Doc Searls, Aaron Newcomb, Simon Phipps, Katherine Druckman",[WordPress](https://en.wikipedia.org/wiki/WordPress),Web 3.0 and Beyond
Episode 658,"December 1, 2021","Doc Searls, Katherine Druckman",Lisa LeVasseur,The Me2B's Knees
Episode 659,"December 8, 2021","Doc Searls, Jonathan Bennett",Steve Stroh,Open Source and Amateur Radio
Episode 660,"December 15, 2021","Doc Searls, Jonathan Bennett","Ennuicastr, Log4j",Open Source Audio and The Weasel
Episode 661,"December 22, 2021","Doc Searls, Jonathan Bennett, Simon Phipps","Computer Security, VIZIO Lawsuit",Open Source for Observability
Episode 662,"January 5, 2022","Doc Searls, Shawn Powers",Deb Goodkin,[FreeBSD](https://en.wikipedia.org/wiki/FreeBSD) & FreeBSD Foundation
Episode 663,"January 12, 2022","Doc Searls, Dan Lynch",Sandra Henry-Stocker,UNIX as a Second Language - [Networkworld](https://en.wikipedia.org/wiki/Networkworld)
Episode 664,"January 19, 2022","Doc Searls, Aaron Newcomb",Avery Pennarun,Tailscale
Episode 665,"January 26, 2022","Aaron Newcomb, Simon Phipps","Simon Phipps, Stefano Maffulli",[Open Source Initiative](https://en.wikipedia.org/wiki/Open_Source_Initiative)
Episode 666,"February 2, 2022","Doc Searls, Jonathan Bennett",Elliot Williams,Hackaday Open Source & Hacking
Episode 667,"February 9, 2022","Doc Searls, Shawn Powers",Ramón Huidobro,CodeSee Open Source Onboarding
Episode 668,"February 16, 2022","Doc Searls, Katherine Druckman",Rob La Gessee,"Openstack, AWS Marketing Open Source"
Episode 669,"February 23, 2022","Doc Searls, Simon Phipps","Jon ""maddog"" Hall"
Episode 670,"March 2, 2022","Doc Searls, Shawn Powers",Darrell O'Donnell,SSI and Digital wallets
Episode 671,"March 9, 2022","Doc Searls, Jonathan Bennett",[Matt Mullenweg](https://en.wikipedia.org/wiki/Matt_Mullenweg),[WordPress](https://en.wikipedia.org/wiki/WordPress) Evolutions
Episode 672,"March 16, 2022","Doc Searls, Jonathan Bennett, Katherine Druckman","Gitlab vs Russia, AMD Linux GPU Support",Wartime Roundtable
Episode 673,"March 23, 2022","Doc Searls, Simon Phipps","Drummond Reed, Trust Over IP, SSI",Frontiers of Trust
Episode 674,"March 30, 2022","Doc Searls, Jonathan Bennett","Lorenzo Miniero, Meetcho",Janus WebRTC
Episode 675,"April 6, 2022","Doc Searls, Shawn Powers","Plausible, Adblocking, Open Source Analytics",The Plausible(.io) Alternative to Google Analytics
Episode 676,"April 13, 2022","Doc Searls, Aaron Newcomb","Tidelift, Jeremy Katz, Luis Villa",Tidelift A Platform for Maintainers
Episode 677,"April 20, 2022","Doc Searls, Katherine Druckman",Melody Meckfessel,Open Source and Data Visualization
Episode 678,"April 27, 2022","Doc Searls, Simon Phipps",[Ethan Zuckerman](https://en.wikipedia.org/wiki/Ethan_Zuckerman),"Of Musk, [Mastodon](Mastodon_(social_network)https://en.wikipedia.org/wiki/), and More"
Episode 679,"May 4, 2022","Doc Searls, Jonathan Bennett",Amit Taylor,Open Jobs in Open Source
Episode 680,"May 11, 2022","Doc Searls, Jonathan Bennett",[Hector Martin](Hector_Martin_(hacker)https://en.wikipedia.org/wiki/),[Asahi Linux](https://en.wikipedia.org/wiki/Asahi_Linux) on M1 Hardware
Episode 681,"May 18, 2022","Doc Searls, Dan Lynch",James Walker,"Yes, UCAN"
Episode,"May 25, 2022","Doc Searls, Katherine Druckman",Holmes Wilson,Free and Open P2P Team Chat with Quiet
Episode 683,"June 1, 2022","Doc Searls, Aaron Newcomb",Dr. Andre Kudra,Retro Computing and the Demoscene
Episode 684,"June 8, 2022","Doc Searls, Jonathan Bennett",Sam Lambert,Planetscale
Episode 685,"June 15, 2022","Doc Searls, Dan Lynch",Sam Curren,DIDs and DIDcomm
Episode 686,"June 22, 2022","Doc Searls, Katherine Druckman",David Huseby,Authentic Data
Episode 687,"June 29, 2022","Doc Searls, Katherine Druckman","Jonathan Bennett, Shawn Powers",Open Source Roundtable
Episode 688,"July 6, 2022","Doc Searls, Jonathan Bennett",Matthew Hodgson,"[Matrix](Matrix_(protocol)https://en.wikipedia.org/wiki/).org, [Element](Element_(software)https://en.wikipedia.org/wiki/)"
Episode 689,"July 13, 2022","Doc Searls, Aaron Newcomb","Snazzah, Ralph S",Record Discord with Craig
Episode 690,"July 20, 2022","Doc Searls, Jonathan Bennett",Stephano Cetola,[RISC-V](RISC-https://en.wikipedia.org/wiki/V) Revisited
Episode 691,"July 27, 2022","Doc Searls, Shawn Powers",Maxie Reynolds,Subsea Cloud
Episode 692,"August 3, 2022",Doc Searls,"Jonathan Bennett, Shawn Powers",Sugar-Free Hammer
Episode 693,"August 10, 2022","Doc Searls, Jonathan Bennett",Avi Press,Open Source Analytics with Scarf
Episode 694,"August 17, 2022","Doc Searls, Jonathan Bennett",[Dave Taht](https://en.wikipedia.org/wiki/Dave_Taht),Icky Latency and the Dawn of IQI
Episode 695,"August 24, 2022","Doc Searls, Shawn Powers",Peter Kaminski,Massive Wiki
Episode 696,"August 31, 2022","Doc Searls, Aaron Newcomb",Avery Pennarun,[Tailscale](https://en.wikipedia.org/wiki/Tailscale) Gets Hot
Episode 697,"September 7, 2022","Doc Searls, Simon Phipps",[Brian Behlendorf](https://en.wikipedia.org/wiki/Brian_Behlendorf),The Life of Brian
Episode 698,"September 14, 2022","Doc Searls, Dan Lynch",[Miguel de Icaza](https://en.wikipedia.org/wiki/Miguel_de_Icaza),[Miguel de Icaza](https://en.wikipedia.org/wiki/Miguel_de_Icaza)
Episode 699,"September 21, 2022","Doc Searls, Katherine Druckman",Andy Parsons,Content Authenticity
Episode 700,"September 28, 2022","Doc Searls, Shawn Powers",Jonathan Corbet,The Linux Kernel Gets Rusty
Episode 701,"October 5, 2022","Doc Searls, Simon Phipps",[David P. Reed](David_P.https://en.wikipedia.org/wiki/_Reed),Freedom and Scalable Cooperation
Episode 702,"October 12, 2022","Doc Searls, Jonathan Bennett",John Mertic,Open Source and Mainframes
Episode 703,"October 19, 2022","Doc Searls, Katherine Druckman",Marcus Sailler,Hacker's Ethical Dilemma
Episode 704,"October 26, 2022","Doc Searls, Simon Phipps",Hart Montgomery,"Distributed Data, Decentralized Trust, [Hyperledger](https://en.wikipedia.org/wiki/Hyperledger)"
Episode 705,"November 2, 2022","Doc Searls, Jonathan Bennett",Jeff Geerling,A Slice of [Raspberry Pi](https://en.wikipedia.org/wiki/Raspberry_Pi)
Episode 706,"November 9, 2022","Doc Searls, Jonathan Bennett, Katherine Druckman",[Greg Kroah-Hartman](Greg_Kroah-https://en.wikipedia.org/wiki/Hartman),Secrets of the Linux Kernel
Episode 707,"November 16, 2022","Doc Searls, Jonathan Bennett",Robin Gareus,[Ardour](Ardour_(software)https://en.wikipedia.org/wiki/) and Linux Pro Audio
Episode 708,"November 23, 2022","Doc Searls, Simon Phipps",Matthias Kirschner,"Europe Flies The FLOSS Flag, [FSFE](https://en.wikipedia.org/wiki/Free_Software_Foundation_Europe)"
Episode 709,"November 30, 2022","Doc Searls, Aaron Newcomb",Jason Griffey,The Tiny Free Library That Could
Episode 710,"December 7, 2022","Doc Searls, Shawn Powers","Tim Požar, Brian David",Open Source for Broadcast
Episode 711,"December 14, 2022",Doc Searls,"Jonathan Bennett, Shawn Powers",May or May Not Be Notable
Episode 712,"December 21, 2022","Doc Searls, Katherine Druckman",Dan Lorenc,Software Supply Chain Security
Episode 713,"January 4, 2023",Doc Searls,"Jonathan Bennett, Katherine Druckman, Leo Laporte",Let's put thoughts on the blockchain
Episode 714,"January 11, 2023","Doc Searls, Dan Lynch","Devin Ulibarri, [Walter Bender](https://en.wikipedia.org/wiki/Walter_Bender)",[Sugar Labs](https://en.wikipedia.org/wiki/Sugar_Labs) and Music Blocks
Episode 715,"January 18, 2023","Doc Searls, Jonathan Bennett",Alexander Belokrylov,Lower Cloud Costs for Java
Episode 716,"January 25, 2023","Doc Searls, Simon Phipps",Christine Hall,Desperately Seeking Software Freedom
Episode 717,"February 1, 2023","Doc Searls, Katherine Druckman",Ilan Rabinovitch,[SCaLE](https://en.wikipedia.org/wiki/Southern_California_Linux_Expo) Is Still Huge
Episode 718,"February 8, 2023","Doc Searls, Jonathan Bennett","Lubos Kocman, Douglas DeMaio",Future of [openSUSE](https://en.wikipedia.org/wiki/openSUSE) Leap
Episode 719,"February 15, 2023","Doc Searls, Dan Lynch",Peter Kaminski,Let the Wiki Win!
Episode 720,"February 22, 2023","Doc Searls, Simon Phipps",Arun Gupta,Fostering an Open Source Culture
Episode 721,"March 1, 2023","Doc Searls, Shawn Powers",Kyle Rankin,"Hacking, Convergence and Hyper[Purism](Purism_(company)https://en.wikipedia.org/wiki/)"
Episode 722,"March 8, 2023","Doc Searls, Aaron Newcomb","Tim Požar, Brian David",DIY Broadcasting with Open Source
Episode 723,"March 15, 2023","Doc Searls, Simon Phipps",Seth Frey,Freedom to Fork
Episode 724,"March 22, 2023","Doc Searls, Shawn Powers",Levi C. Maaia,The Wide World of Open Radio
Episode 725,"March 29, 2023","Doc Searls, Katherine Druckman, Shawn Power",Pietro di Caprio,VanillaOS on a Stick
Episode 726,"April 5, 2023","Doc Searls, Jonathan Bennett",Paula Hunter,Mojaloop and Digital Public Goods
Episode 727,"April 12, 2023","Doc Searls, Dan Lynch",Dr Rand Hindi,[Homomorphic Encryption](https://en.wikipedia.org/wiki/Homomorphic_Encryption): the Next Big Thing
Episode 728,"April 19, 2023","Doc Searls, Jonathan Bennett",Mike Milinkovich,Open Season on Open Source - the [Cyber Resilience Act](https://en.wikipedia.org/wiki/Cyber_Resilience_Act)
Episode 729,"April 26, 2023","Doc Searls, Shawn Powers",[Stormy Peters](https://en.wikipedia.org/wiki/Stormy_Peters),Commitment Issues
Episode 730,"May 3, 2023","Doc Searls, Jonathan Bennett","Ben Meadors, Garth Vander Houwen",Going Off the Grid with Meshtastic using [LoRa](https://en.wikipedia.org/wiki/LoRa)
Episode 731,"May 10, 2023","Doc Searls, Jonathan Bennett",Dan Middleton,[Confidential Computing Consortium](https://en.wikipedia.org/wiki/Confidential_Computing_Consortium)
Episode 732,"May 17, 2023","Doc Searls, Simon Phipps",[Greg Kroah-Hartman](Greg_Kroah-https://en.wikipedia.org/wiki/Hartman),Update Your [Kernels](https://en.wikipedia.org/wiki/Linux_kernel)
Episode 733,"May 24, 2023","Doc Searls, Dan Lynch",Tim Bonnemann,Open Source Science
Episode 734,"May 31, 2023","Doc Searls, Katherine Druckman",Roman Tsisyk,[Organic Maps](https://en.wikipedia.org/wiki/Organic_Maps)
Episode 735,"June 7, 2023","Doc Searls, Aaron Newcomb",Ahmed Sobeh,FLOSS Without Borders
Episode 736,"June 14, 2023","Doc Searls, Katherine Druckman",[David Sifry](https://en.wikipedia.org/wiki/David_Sifry),Don't Fear the AI
Episode 737,"June 21, 2023","Doc Searls, Shawn Powers",Dan Lynch,"Live, LUG, and Rock On"
Episode 738,"June 28, 2023","Doc Searls, Jonathan Bennett","Jared Watts, Nic Cope",Crossplane: Your Cockpit in the Cloud
Episode 739,"July 5, 2023","Doc Searls, Katherine Druckman","Golda Velez, Romeo Chukwuemeka",Whose AI Is It Anyway?
Episode 740,"July 12, 2023","Doc Searls, Ant Pruitt",Jonathan Bennett,Baking the Printer
Episode 741,"July 19, 2023","Doc Searls, Simon Phipps",Hans-Christoph Steiner,This Is the [F-Droid](F-https://en.wikipedia.org/wiki/Droid) You're Looking For
Episode 742,"July 26, 2023",Doc Searls,"Jonathan Steck, Shaughn Reynolds","Endless Sky, Endless Fun"
Episode 743,"August 2, 2023","Doc Searls, Shawn Powers",William Kwok,Data Is Surprisingly Exciting - [Apache SeaTunnel](https://en.wikipedia.org/wiki/List_of_Apache_Software_Foundation_projects)
Episode 744,"August 9, 2023","Doc Searls, Katherine Druckman",Damien Riehl,A Chill Pirate Lawyer
Episode 745,"August 16, 2023","Doc Searls, Dan Lynch",[Dave Taht](https://en.wikipedia.org/wiki/Dave_Taht),The Buffer Bloke
Episode 746,"August 23, 2023","Doc Searls, Jonathan Bennett","Claude Warren, Jr.","Don't Hesitate, Enculturate!"
Episode 747,"August 30, 2023","Doc Searls, Jonathan Bennett, Dan Lynch","New, Hot, Big, and Doomed"
Episode 748,"September 6, 2023","Doc Searls, Simon Phipps",Nathan Freitas,Show Me the ProofMode - [Guardian Project](Guardian_Project_(software)https://en.wikipedia.org/wiki/)
Episode 749,"September 13, 2023","Doc Searls, Jonathan Bennett",Kyle Rankin,That's In Chapter Three
Episode 750,"September 20, 2023","Doc Searls, Katherine Druckman",Michael Hoffman,AI: Just Make It Normal
Episode 751,"September 27, 2023","Doc Searls, Jonathan Bennett, Shawn Powers",Simon Phipps,The Phipps Certification
Episode 752,"October 4, 2023","Doc Searls, Katherine Druckman",Cooper Quintin,Stalkers Beware
Episode 753,"October 11, 2023","Doc Searls, Dan Lynch",Aral Balkan,Small is Beautiful
Episode 754,"October 18, 2023","Doc Searls, Dan Lynch","[Jon ""maddog"" Hall](https://en.wikipedia.org/wiki/Jon_""maddog""_Hall)",Is He Still On?
Episode 755,"October 25, 2023","Doc Searls, Jonathan Bennett",[Frank Karlitschek](https://en.wikipedia.org/wiki/Frank_Karlitschek),[NextCloud](https://en.wikipedia.org/wiki/NextCloud)
Episode 756,"November 1, 2023","Doc Searls, Simon Phipps",[Luis Villa](https://en.wikipedia.org/wiki/Luis_Villa),"We won, now what? - Tidelift"
Episode 757,"November 8, 2023","Doc Searls, Shawn Powers, Jonathan Bennett",Philip Griffiths,Noodling Around with OpenZiti
